epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9152,1.12165,1.81676,1.46892,0.83538,0.85,0.90941,0.79467,0.52291,1.20751,0.92697,0.000655556,0.000655556,0.000655556
2,75.0689,1.1481,1.92879,1.48572,0.09091,0.45,0.08231,0.02415,2.10436,157.564,2.70382,0.00125677,0.00125677,0.00125677
3,111.563,1.28449,3.05197,1.57826,0.2,0.85,0.20355,0.09052,1.4788,94.9621,2.50226,0.00179199,0.00179199,0.00179199
4,148.007,1.34324,5.37984,1.61894,0.00245,0.45,0.0021,0.0007,2.84517,121.284,3.1792,0.001703,0.001703,0.001703
5,184.29,1.78205,2.88729,1.84982,0.01147,0.35,0.00507,0.00118,3.77495,37.959,8.14211,0.001604,0.001604,0.001604
6,220.668,1.67645,2.23885,1.84557,0.03399,0.65,0.03289,0.00968,2.74234,101.793,6.61446,0.001505,0.001505,0.001505
7,257.191,1.794,2.01524,2.04729,0.0478,0.25,0.0513,0.01123,2.77296,25.6449,13.8778,0.001406,0.001406,0.001406
8,293.993,1.41834,1.90762,1.75544,0.0478,0.25,0.0513,0.01123,2.77296,25.6449,13.8778,0.001307,0.001307,0.001307
9,331.303,1.2147,1.6227,1.53957,0.02839,0.55,0.02833,0.01279,1.51049,9.43125,3.34716,0.001208,0.001208,0.001208
10,368.463,1.23445,1.43644,1.63684,0.4899,0.65,0.62081,0.27132,1.4409,3.30992,2.04317,0.001109,0.001109,0.001109
11,405.603,1.09507,1.57103,1.62623,0.77999,0.88673,0.89642,0.56354,0.92984,1.82482,1.65685,0.00101,0.00101,0.00101
12,442.043,1.05543,1.38426,1.55948,0.14592,0.7,0.19284,0.06742,1.86936,3.67998,2.47403,0.000911,0.000911,0.000911
13,478.564,0.94138,1.19998,1.46708,0.01505,0.9,0.01416,0.00494,2.42109,90.025,3.31177,0.000812,0.000812,0.000812
14,514.915,0.91825,1.10592,1.49264,0.48289,0.75,0.64967,0.39126,1.34861,2.81254,2.00507,0.000713,0.000713,0.000713
15,551.498,0.79913,0.91741,1.39893,0.4164,0.7,0.56923,0.30125,1.3358,3.06943,1.93851,0.000614,0.000614,0.000614
16,587.915,0.8318,0.92313,1.45051,0.78873,0.56055,0.77609,0.47648,1.23628,1.86475,1.8454,0.000515,0.000515,0.000515
17,625.057,0.71434,0.70507,1.39387,0.72847,0.93934,0.88083,0.5675,1.11389,1.30781,1.71518,0.000416,0.000416,0.000416
18,661.394,0.66667,0.764,1.30174,0.92739,0.75,0.89929,0.62029,0.92306,1.23716,1.55844,0.000317,0.000317,0.000317
19,697.605,0.64856,0.78684,1.26534,0.99114,0.75,0.9211,0.70968,0.75276,1.12762,1.44385,0.000218,0.000218,0.000218
20,733.873,0.56958,0.64585,1.24593,1,0.74975,0.90366,0.71016,0.72961,1.28395,1.42243,0.000119,0.000119,0.000119
