epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5583,0.80383,1.65208,1.31733,0.89161,1,0.99045,0.93554,0.3087,2.88654,0.90072,6e-05,6e-05,6e-05
2,133.506,0.73707,1.04147,1.28016,0.78774,1,0.99262,0.88012,0.43461,2.23271,0.97246,0.00013307,0.00013307,0.00013307
3,195.526,0.67498,0.99245,1.18542,0.79386,1,0.99262,0.85571,0.47759,3.83267,1.006,0.00019822,0.00019822,0.00019822
4,256.589,0.64615,0.97981,1.12594,0.86667,0.65,0.88101,0.67763,0.65459,15.0637,1.28391,0.00025545,0.00025545,0.00025545
5,315.792,0.75483,0.90181,1.23953,0.81818,0.45,0.80106,0.54892,0.68353,27.0142,1.51768,0.00030476,0.00030476,0.00030476
6,376.187,0.83354,1.05931,1.28547,0.90909,0.5,0.82095,0.61344,0.69999,27.9624,1.49911,0.00034615,0.00034615,0.00034615
7,437.314,0.76726,0.84544,1.24726,0.11765,0.3,0.21351,0.06244,1.93387,66.6346,4.2326,0.00037962,0.00037962,0.00037962
8,498.376,0.8711,0.86919,1.31485,0.02074,0.9,0.01898,0.00848,2.40836,3148.66,38.9822,0.00040517,0.00040517,0.00040517
9,559.401,0.74428,0.78128,1.22804,0.01015,0.95,0.0112,0.00377,3.27432,8832.63,177.011,0.0004228,0.0004228,0.0004228
10,619.69,0.74381,0.81271,1.18468,0.00288,0.75,0.0028,0.00081,3.90397,16288.2,510.83,0.00043251,0.00043251,0.00043251
11,677.261,0.803,1.29111,1.33073,0.01095,0.85,0.0165,0.00678,2.9655,531623,17614,0.0004343,0.0004343,0.0004343
12,735.008,0.63625,0.87496,1.19821,0.0043,0.2,0.05042,0.00583,4.88946,230419,15433.3,0.00042817,0.00042817,0.00042817
13,792.954,0.47307,0.57273,1.03866,0.0043,0.2,0.05042,0.00583,6.73488,2.05607e+06,55188.2,0.00041412,0.00041412,0.00041412
14,850.719,0.55184,0.6421,1.18708,0.0093,0.65,0.0095,0.00331,3.46073,134409,152810,0.00039215,0.00039215,0.00039215
15,909.101,0.512,0.61527,1.14896,0.00191,0.05,0.00098,0.00049,6.28473,19091.3,7646.11,0.00036226,0.00036226,0.00036226
16,967.252,0.49426,0.51953,1.08833,0.00191,0.05,0.00098,0.00049,5.41162,1469.45,3716.54,0.00032445,0.00032445,0.00032445
17,1025.16,0.45498,0.50236,1.05637,0.00832,0.15,0.00414,0.00052,5.24589,1225.32,873.342,0.00027872,0.00027872,0.00027872
18,1083.49,0.43377,0.49236,1.02601,0.0479,0.5,0.03902,0.00874,3.21787,71.9758,30.6695,0.00022507,0.00022507,0.00022507
19,1141.64,0.40047,0.43164,1.03155,0.04565,0.35,0.04703,0.01346,2.9346,32.8553,11.5014,0.0001635,0.0001635,0.0001635
20,1199.68,0.42305,0.48705,1.09834,0.0936,0.45,0.06494,0.02694,2.00922,10.9817,5.26065,9.401e-05,9.401e-05,9.401e-05
